# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
4.706234484910964966e-02 8.560580015182495117e-01 9.999382495880126953e-01 9.084298014640808105e-01 4.617482721805572510e-01 5.867163538932800293e-01
2.912751734256744385e-01 9.997498393058776855e-01 2.848871052265167236e-01 5.077747106552124023e-01 7.944189906120300293e-01 5.316535830497741699e-01
8.092231303453445435e-02 1.505023092031478882e-01 4.181430041790008545e-01 9.998680353164672852e-01 2.745543420314788818e-01 3.271190524101257324e-01
2.207542061805725098e-01 9.995737671852111816e-01 9.999976158142089844e-01 7.092779874801635742e-01 4.776448309421539307e-01 7.192934751510620117e-01
4.285705089569091797e-01 9.999986886978149414e-01 8.177276849746704102e-01 9.131568670272827148e-01 9.735144972801208496e-01 1.975729167461395264e-01
1.892480403184890747e-01 9.523048996925354004e-01 9.843979477882385254e-01 4.242653846740722656e-01 4.413712620735168457e-01 9.278476834297180176e-01
2.775755897164344788e-02 9.871454238891601562e-01 9.995921254158020020e-01 8.128666877746582031e-01 8.362894058227539062e-01 5.895828008651733398e-01
1.229405999183654785e-01 6.094089746475219727e-01 5.155767202377319336e-01 9.999148845672607422e-01 2.254596650600433350e-01 4.953220784664154053e-01
3.906860575079917908e-02 6.249406337738037109e-01 9.394542574882507324e-01 3.106041252613067627e-01 8.551996350288391113e-01 9.487028717994689941e-01
1.266393065452575684e-02 8.261570334434509277e-02 9.177628159523010254e-01 8.566004037857055664e-01 8.974489569664001465e-01 2.738143205642700195e-01
3.582455590367317200e-02 9.892147183418273926e-01 9.857148528099060059e-01 8.561882376670837402e-01 2.696607410907745361e-01 4.261971637606620789e-02
4.271597564220428467e-01 9.354740381240844727e-01 1.256979703903198242e-01 9.878997206687927246e-01 7.271857261657714844e-01 6.433568596839904785e-01
2.012293338775634766e-01 9.960441589355468750e-01 6.177135705947875977e-01 9.141217470169067383e-01 5.901932120323181152e-01 8.683156371116638184e-01
1.740008592605590820e-01 5.665780305862426758e-01 9.959201812744140625e-01 9.801790118217468262e-01 9.790577888488769531e-01 7.755072712898254395e-01
4.453633446246385574e-04 7.401505112648010254e-01 9.879088997840881348e-01 1.055130735039710999e-01 5.184096693992614746e-01 2.364636361598968506e-01
6.425279974937438965e-01 6.296357512474060059e-01 9.822388887405395508e-01 9.131699800491333008e-01 2.113532125949859619e-01 4.828127622604370117e-01
4.328667223453521729e-01 6.252262592315673828e-01 9.998848438262939453e-01 7.375186681747436523e-01 6.678134202957153320e-01 7.432818412780761719e-01
2.237360775470733643e-01 9.929521679878234863e-01 8.214480876922607422e-01 4.495555162429809570e-01 9.477742910385131836e-01 5.312875509262084961e-01
7.118608355522155762e-01 9.982531666755676270e-01 9.766977429389953613e-01 2.400278449058532715e-01 7.391728162765502930e-01 8.496847748756408691e-01
9.543755650520324707e-02 2.963987290859222412e-01 1.144257262349128723e-01 3.329683840274810791e-01 7.085639238357543945e-01 3.265248239040374756e-01
1.439011991024017334e-01 9.925665855407714844e-01 8.123235106468200684e-01 4.012800753116607666e-01 1.483058482408523560e-01 7.961878180503845215e-01
2.082556113600730896e-02 1.611235439777374268e-01 9.934038519859313965e-01 9.565935730934143066e-01 2.778512537479400635e-01 5.147544145584106445e-01
